;Familie;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Familie;PreCrop / Postcrop;KLEE;KLEEGRAS;LUZERNE;ACKERBOHNEN;KÖRNERERBSEN;LINSEN;SOJABOHNEN;WINTERWEICHWEIZEN;SOMMERWEICHWEIZEN;WINTERHARTWEIZEN;WINTERDINKEL;WINTERTRITICALE;WINTERROGGEN;WINTERGERSTE;SOMMERGERSTE;SOMMERHAFER;HIRSE;SILOMAIS;KÖRNERMAIS;ZUCKERRÜBEN;KARTOFFELN;WINTERRAPS;SONNENBLUMEN;ÖLKÜRBIS;BUCHWEIZEN;HANF;;
;KLEE;-1;-1;-1;-1;-1;-1;-1;2;2;2;-1;1;1;1;-1;1;-1;2;2;1;2;2;-1;-1;-1;-1;;
;KLEEGRAS;-1;-1;-1;-1;-1;-1;-1;2;2;2;-1;1;1;1;-1;1;-1;2;2;1;2;2;-1;-1;-1;-1;;
;LUZERNE;-1;-1;-1;-1;-1;-1;-1;2;2;2;-1;1;1;1;-1;1;-1;2;2;1;2;2;-1;-1;-1;-1;;
;ACKERBOHNEN;-1;-1;-1;-1;-1;-1;-1;2;1;1;1;2;1;1;-1;1;-1;2;2;1;2;-1;-1;2;-1;-1;;
;KÖRNERERBSEN;-1;-1;-1;-1;-1;-1;-1;2;1;1;1;2;2;2;-1;1;-1;2;2;1;2;2;-1;2;-1;-1;;
;LINSEN;-1;-1;-1;-1;-1;-1;-1;2;1;1;1;2;2;2;-1;1;-1;2;2;1;2;2;-1;2;-1;-1;;
;SOJABOHNEN;-1;-1;-1;-1;-1;-1;-1;1;2;2;-1;-1;-1;-1;-1;2;-1;2;2;1;2;-1;-1;-1;-1;-1;;
;WINTERWEICHWEIZEN;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;-1;2;2;1;2;-1;1;2;2;-1;;
;SOMMERWEICHWEIZEN;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;-1;2;2;1;2;-1;1;2;2;-1;;
;WINTERHARTWEIZEN;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;-1;2;2;1;2;-1;1;2;2;-1;;
;WINTERDINKEL;2;2;2;2;2;2;2;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;2;2;2;1;2;2;2;2;-1;;
;SOMMERTRITICALE;2;2;2;1;2;2;2;-1;1;1;-1;-1;-1;-1;1;1;-1;2;2;2;1;1;2;2;2;-1;;
;WINTERTRITICALE;2;2;2;1;2;2;2;-1;1;1;-1;-1;-1;-1;1;1;-1;2;2;2;1;1;2;2;2;-1;;
;WINTERROGGEN;2;2;2;1;2;2;2;-1;1;1;-1;1;-1;-1;1;1;-1;2;2;2;1;1;2;2;2;-1;;
;WINTERGERSTE;2;2;2;2;2;2;2;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;2;2;2;1;2;2;2;2;-1;;
;SOMMERGERSTE;2;2;2;1;1;1;2;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;1;1;-1;2;1;2;2;-1;;
;SOMMERHAFER;2;2;2;1;1;1;2;1;-1;-1;1;1;1;1;-1;-1;-1;1;1;1;-1;-1;1;2;2;-1;;
;HIRSE;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;
;SILOMAIS;1;1;1;2;2;2;1;1;2;2;1;1;1;-1;1;2;-1;-1;-1;1;1;-1;2;1;2;-1;;
;KÖRNERMAIS;1;1;1;2;2;2;1;1;2;2;-1;-1;-1;-1;1;2;-1;-1;-1;1;1;-1;2;1;2;-1;;
;ZUCKERRÜBEN;1;1;1;2;2;2;1;1;2;2;1;-1;-1;-1;2;2;-1;2;2;-1;1;-1;1;-1;2;-1;;
;KARTOFFELN;1;1;1;1;1;1;1;1;2;1;2;2;2;2;1;1;-1;1;1;1;-1;-1;-1;-1;2;-1;;
;WINTERRAPS;2;2;2;1;1;1;1;2;1;1;2;2;2;2;-1;1;-1;1;1;-1;1;-1;-1;-1;2;-1;;
;SONNENBLUMEN;1;1;1;1;1;1;-1;-1;1;1;2;1;1;1;2;1;-1;1;1;1;-1;-1;-1;-1;2;-1;;
;ÖLKÜRBIS;1;1;1;1;1;1;-1;1;1;1;2;2;2;1;2;2;-1;1;1;1;1;1;1;-1;2;-1;;
;BUCHWEIZEN;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;-1;2;2;2;2;2;2;2;-1;-1;;
;HANF;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Postcrop/Precrop;KLEE;KLEEGRAS;LUZERNE;ACKERBOHNEN;KÖRNERERBSEN;LINSEN;SOJABOHNEN;WINTERWEICHWEIZEN;SOMMERWEICHWEIZEN;WINTERHARTWEIZEN;WINTERDINKEL;WINTERTRITICALE;SOMMERTRITICALE;WINTERROGGEN;WINTERGERSTE;SOMMERGERSTE;Winterhafer;SOMMERHAFER;HIRSE;SILOMAIS;KÖRNERMAIS;ZUCKERRÜBEN;KARTOFFELN;WINTERRAPS;SONNENBLUMEN;ÖLKÜRBIS;BUCHWEIZEN;HANF
;KLEE;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;2;2;2;2;2;2;2;-1;1;1;1;1;2;1;1;2;-1
;KLEEGRAS;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;2;2;2;2;2;2;2;-1;1;1;1;1;2;1;1;2;-1
;LUZERNE;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;2;2;2;2;2;2;2;-1;1;1;1;1;2;1;1;2;-1
;ACKERBOHNEN;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;1;1;1;2;1;1;1;-1;2;2;2;1;1;1;1;2;-1
;KÖRNERERBSEN;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;2;2;2;2;1;1;1;-1;2;2;2;1;1;1;1;2;-1
;LINSEN;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;2;2;2;2;1;1;1;-1;2;2;2;1;1;1;1;2;-1
;SOJABOHNEN;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;2;2;2;2;2;2;2;-1;1;1;1;1;1;-1;-1;2;-1
;WINTERWEICHWEIZEN;2;2;2;2;2;2;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;-1;1;1;1;1;2;-1;1;2;-1
;SOMMERWEICHWEIZEN;2;2;2;1;1;1;2;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;-1;2;2;2;2;1;1;1;2;-1
;WINTERHARTWEIZEN;2;2;2;1;1;1;2;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;-1;2;2;2;1;1;1;1;2;-1
;WINTERDINKEL;-1;-1;-1;1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;-1;1;-1;1;2;2;2;2;2;-1
;WINTERTRITICALE;1;1;1;2;2;2;-1;-1;1;1;-1;-1;-1;1;-1;-1;1;1;-1;1;-1;-1;2;2;1;2;2;-1
;Sommertriticale;1;1;1;2;2;2;-1;-1;1;1;-1;-1;-1;1;0;0;1;1;-1;1;-1;-1;2;2;1;2;2;-1
;WINTERROGGEN;1;1;1;1;2;2;-1;1;1;1;-1;-1;-1;-1;-1;1;1;1;-1;1;-1;-1;2;2;1;2;2;-1
;WINTERGERSTE;1;1;1;1;2;2;-1;1;1;1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;2;2;1;1;2;-1
;SOMMERGERSTE;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;1;1;1;-1;-1;-1;-1;-1;1;1;2;1;-1;2;2;2;-1
;Winterhafer;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;-1;-2;-2;-1;2;2;2;1;1;1;2;2;-1
;SOMMERHAFER;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;-1;-2;-2;-1;2;2;2;1;1;1;2;2;-1
;HIRSE;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
;SILOMAIS;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;-1;-1;-1;2;1;1;1;1;2;-1
;KÖRNERMAIS;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;-1;-1;-1;2;1;1;1;1;2;-1
;ZUCKERRÜBEN;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;1;1;-1;1;1;-1;1;-1;1;1;2;-1
;KARTOFFELN;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;-1;-1;-1;-1;1;1;1;-1;1;-1;1;2;-1
;WINTERRAPS;2;2;2;-1;2;2;-1;-1;-1;-1;2;1;1;1;2;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;2;-1
;SONNENBLUMEN;-1;-1;-1;-1;-1;-1;-1;1;1;1;2;2;2;2;2;1;1;1;-1;2;2;1;-1;-1;-1;1;2;-1
;ÖLKÜRBIS;-1;-1;-1;2;2;2;-1;2;2;2;2;2;2;2;2;2;2;2;-1;1;1;-1;-1;-1;-1;-1;2;-1
;BUCHWEIZEN;-1;-1;-1;-1;-1;-1;-1;2;2;2;2;2;2;2;2;2;2;2;-1;2;2;2;2;2;2;2;-1;-1
;HANF;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
